'em	𐑩𐑥	PNP	əm	1321
'neath	𐑯𐑰𐑔	PRP	niːθ	0
'pon	𐑐𐑪𐑯	PRP	pɒn	0
'shun	𐑖𐑳𐑯	ITJ	ʃʌn	0
'tis	𐑑𐑦𐑟	PNP+VBZ	tɪz	0
'twas	𐑑𐑢𐑪𐑟	PNP+VBD	twɒz	0
'tween	𐑑𐑢𐑰𐑯	AV0	twiːn	0
'tween	𐑑𐑢𐑰𐑯	PRP	twiːn	0
'tween-decks	𐑑𐑢𐑰𐑯-𐑛𐑧𐑒𐑕	AV0	ˈtwiːn-deks	0
'twere	𐑑𐑢𐑻	PNP+VBD	twɜːR	0
'twill	𐑑𐑢𐑦𐑤	PNP+VM0	twɪl	0
'twixt	𐑑𐑢𐑦𐑒𐑕𐑑	PRP	twɪkst	4
'twould	𐑑𐑢𐑫𐑛	PNP+VM0	twʊd	0
'un	𐑩𐑯	PNI	ən	57
a	𐑱	ZZ0	eɪ	22367
a	𐑩	AT0	ə	2126369
a bit	𐑩 𐑚𐑦𐑑	AV0	ə ˈbɪt	6687
a cappella	𐑨 𐑒𐑩𐑐𐑧𐑤𐑩	AJ0	ˌæ kəˈpelə	0
a cappella	𐑨 𐑒𐑩𐑐𐑧𐑤𐑩	AV0	ˌæ kəˈpelə	0
a fortiori	𐑱 𐑓𐑹𐑑𐑦𐑹𐑲	AV0	ˌeɪ ˌfɔːRtɪˈɔːraɪ	36
a great deal	𐑩 𐑜𐑮𐑱𐑑 𐑛𐑰𐑤	AV0	ə ˈɡreɪt ˌdiːl	6
a la carte	𐑭 𐑤𐑭 𐑒𐑸𐑑	AV0	ˌɑː lɑː ˈkɑːRt	18
a la mode	𐑭 𐑤𐑭 𐑥𐑴𐑛	AV0	ˌɑː lɑː ˈməʊd	2
a little	𐑩 𐑤𐑦𐑑𐑩𐑤	AV0	ə ˈlɪtəl	8518
a little more	𐑩 𐑤𐑦𐑑𐑩𐑤 𐑥𐑹	AV0	ə ˈlɪtəl mɔːR	0
a lot	𐑩 𐑤𐑪𐑑	AV0	ə ˈlɒt	943
a posteriori	𐑱 𐑐𐑪𐑕𐑑𐑧𐑮𐑦𐑹𐑲	AJ0	ˌeɪ ˌpɒsterɪˈɔːraɪ	3
a posteriori	𐑱 𐑐𐑪𐑕𐑑𐑧𐑮𐑦𐑹𐑲	AV0	ˌeɪ ˌpɒsterɪˈɔːraɪ	6
a priori	𐑱 𐑐𐑮𐑲𐑹𐑲	AJ0	ˌeɪ ˌpraɪˈɔːraɪ	145
a priori	𐑱 𐑐𐑮𐑲𐑹𐑲	AV0	ˌeɪ ˌpraɪˈɔːraɪ	88
a propos	𐑨 𐑐𐑮𐑩𐑐𐑴	AV0	ˌæ prəˈpəʊ	1
a's	𐑱𐑟	ZZ0	eɪz	0
a-bomb	𐑱-𐑚𐑪𐑥	NN1	ˈeɪ-bɒm	8
a-bombs	𐑱-𐑚𐑪𐑥𐑟	NN2	ˈeɪ-bɒmz	1
a-level	𐑱-𐑤𐑧𐑝𐑩𐑤	NN1	ˈeɪ-levəl	15
a-levels	𐑱-𐑤𐑧𐑝𐑩𐑤𐑟	NN2	ˈeɪ-levəlz	126
aa	𐑱𐑱	NP0	ˈeɪeɪ	351
aachen	𐑭𐑒𐑩𐑯	NP0	ˈɑːkən	96
aardvark	𐑸𐑛𐑝𐑸𐑒	NN1	ˈɑːRdvɑːRk	10
aardvarks	𐑸𐑛𐑝𐑸𐑒𐑕	NN2	ˈɑːRdvɑːRks	1
aarhorn	𐑸𐑣𐑹𐑯	NP0	ˈɑːRhɔːRn	0
aarhus	𐑸𐑣𐑫𐑕	NP0	ˈɑːRhʊs	1
aaron	𐑺𐑩𐑯	NP0	ˈeərən	208
aarons	𐑺𐑩𐑯𐑟	NP0	ˈeərənz	2
ab initio	𐑨𐑚 𐑦𐑯𐑦𐑖𐑦𐑴	AV0	ˌæb ɪˈnɪʃiəʊ	19
abaci	𐑨𐑚𐑩𐑕𐑲	NN2	ˈæbəsaɪ	1
aback	𐑩𐑚𐑨𐑒	AV0	əˈbæk	327
abacus	𐑨𐑚𐑩𐑒𐑩𐑕	NN1	ˈæbəkəs	36
abacuses	𐑨𐑚𐑩𐑒𐑩𐑕𐑩𐑟	NN2	ˈæbəkəsƏz	2
abaft	𐑩𐑚𐑨𐑓𐑑	AV0	əˈbÆft	0
abaft	𐑩𐑚𐑨𐑓𐑑	PRP	əˈbÆft	0
